时段,上车人数,下车人数,净增加人数,地铁内人数（时段结束时）
11:20-11:29,25528,27098,-1570,116817
11:30-11:39,25690,26539,-849,115968
11:40-11:49,25524,26435,-911,115057
11:50-11:59,26086,25924,162,115219
12:00-12:09,26435,24883,1552,116771
12:10-12:19,27550,25690,1860,118631
12:20-12:29,26976,25524,1452,120083
12:30-12:39,26640,25786,854,120937
12:40-12:49,26865,26048,817,121754
12:50-12:59,26539,25984,555,122309
13:00-13:09,27272,26859,413,122722
13:10-13:19,27934,26976,958,123680
13:20-13:29,27722,27722,0,123680
13:30-13:39,27768,28271,-503,123177
13:40-13:49,27100,29690,-2590,120587
13:50-13:59,26865,27848,-983,119604
14:00-14:09,27848,26865,983,120587
14:10-14:19,28271,26865,1406,121993
14:20-14:29,27414,26640,774,122767
14:30-14:39,27098,27414,-316,122451
14:40-14:49,26871,27768,-897,121554
14:50-14:59,27176,27550,-374,121180
15:00-15:09,27488,26871,617,121797
15:10-15:19,29794,26086,3708,125505
15:20-15:29,29893,27272,2621,128126
15:30-15:39,30504,27488,3016,131142
15:40-15:49,32192,28016,4176,135318
15:50-15:59,31792,29839,1953,137271
16:00-16:09,34005,29893,4112,141383
16:10-16:19,37332,30844,6488,147871
16:20-16:29,37162,32192,4970,152841
16:30-16:39,40323,33936,6387,159228
16:40-16:49,46013,35769,10244,169472
16:50-16:59,48416,37162,11254,180726
17:00-17:09,65547,39730,25817,206543
17:10-17:19,96006,45700,50306,256849
17:20-17:29,84025,51926,32099,288948
17:30-17:39,89470,62309,27161,316109
17:40-17:49,127365,72830,54535,370644
17:50-17:59,109069,84025,25044,395688
18:00-18:09,100153,92891,7262,402950
18:10-18:19,136690,98446,38244,441194
18:20-18:29,125131,104159,20972,462166
18:30-18:39,98446,116646,-18200,443966
18:40-18:49,91407,125131,-33724,410242
18:50-18:59,79615,117143,-37528,372714
19:00-19:09,67899,109069,-41170,331544
19:10-19:19,67447,99494,-32047,299497
19:20-19:29,58627,91407,-32780,266717
19:30-19:39,49584,80234,-30650,236067
19:40-19:49,45700,67899,-22199,213868
19:50-19:59,39321,65547,-26226,187642
20:00-20:09,38117,58627,-20510,167132
20:10-20:19,39730,48416,-8686,158446
20:20-20:29,35769,46013,-10244,148202
20:30-20:39,34232,40323,-6091,142111
20:40-20:49,33936,39321,-5385,136726
20:50-20:59,30844,37332,-6488,130238
21:00-21:09,29839,35821,-5982,124256
21:10-21:19,32192,34005,-1813,122443
21:20-21:29,28354,33661,-5307,117136
21:30-21:39,25786,31792,-6006,111130
21:40-21:49,23616,30869,-7253,103877
21:50-21:59,19539,29794,-10255,93622
22:00-22:09,19541,27176,-7635,85987
22:10-22:19,18086,25528,-7442,78545
22:20-22:29,11646,23616,-11970,66575
22:30-22:39,7940,19541,-11601,54974
22:40-22:49,5663,18086,-12423,42551
22:50-22:59,3207,17617,-14410,28141
23:00-23:09,1841,11646,-9805,18336
23:10-23:19,957,7940,-6983,11353
23:20-23:29,476,5663,-5187,6166
23:30-23:39,167,3264,-3097,3069
23:40-23:49,68,2193,-2125,944
23:50-23:59,15,959,-944,0
